contrast_level,region_id,admin_name,municipality_code,mixed_station_count,paper_station_count,mixed_valid_candidate_votes,paper_valid_candidate_votes,mixed_turnout,paper_turnout,paper_minus_mixed_turnout,mixed_pb_share,paper_pb_share,paper_minus_mixed_pb_share,mixed_strong_lead_rate,paper_strong_lead_rate,paper_minus_mixed_strong_lead_rate,mixed_strong_matched_leads,paper_strong_matched_leads,paper_minus_mixed_pb_votes_above_control_expectation,mixed_validation_issue_stations,paper_validation_issue_stations
municipality,02,02. БУРГАС,18,46,6,11676,492,0.443638313080772,0.6475609756097561,0.2039226625289841,0.19672833162041795,0.08536585365853659,-0.11136247796188135,0.043478260869565216,0.0,-0.043478260869565216,2,0,51.62983335865016,0,0
municipality,30,30. ШУМЕН,25,7,6,1687,289,0.36087135224003286,0.5711610486891385,0.21028969644910567,0.5637225844694724,0.44982698961937717,-0.11389559485009526,0.0,0.0,0.0,0,0,-0.8376201592827346,0,0
municipality,18,18. РАЗГРАД,29,14,4,2890,377,0.34438600503087125,0.7334593572778828,0.38907335224701156,0.7484429065743945,0.6339522546419099,-0.11449065193248464,0.0,0.25,0.25,0,1,-43.676997632020985,0,0
municipality,29,29. ХАСКОВО,29,9,7,2621,770,0.49113062175237415,0.709562109025916,0.21843148727354184,0.42769935139259824,0.312987012987013,-0.11471233840558526,0.0,0.0,0.0,0,0,-5.136983154393267,0,0
municipality,26,26. СОФИЯ област,56,2,4,531,329,0.4751712328767123,0.6149732620320856,0.13980202915537326,0.5574387947269304,0.44072948328267475,-0.11670931144425561,0.0,0.0,0.0,0,0,-61.67793143902715,0,0
municipality,19,19. РУСЕ,13,12,6,2831,485,0.4581014223871367,0.6920943134535368,0.2339928910664001,0.5001766160367361,0.38144329896907214,-0.11873331706766399,0.0,0.0,0.0,0,0,1.03918638650212,0,0
municipality,30,30. ШУМЕН,19,10,6,2099,656,0.4139674218311178,0.4848698099929627,0.07090238816184491,0.5869461648404002,0.46646341463414637,-0.12048275020625382,0.1,0.0,-0.1,1,0,-1.2393321632588865,0,0
municipality,12,12. МОНТАНА,07,5,11,1217,876,0.5580885576501534,0.677136596055515,0.1190480384053616,0.4387838948233361,0.3162100456621005,-0.12257384916123559,0.0,0.0,0.0,0,0,-69.11747757423396,0,0
municipality,29,29. ХАСКОВО,11,8,20,1899,993,0.4993584808827303,0.44967032967032966,-0.049688151212400666,0.48973143759873616,0.364551863041289,-0.12517957455744716,0.0,0.0,0.0,0,0,-9.670424975064526,0,0
municipality,22,22. СМОЛЯН,05,4,5,1230,354,0.49783889980353635,0.7453027139874739,0.2474638141839376,0.3983739837398374,0.2711864406779661,-0.1271875430618713,0.0,0.0,0.0,0,0,-81.49691888851426,0,0
municipality,18,18. РАЗГРАД,17,14,9,3458,475,0.37682376403904694,0.5109717868338558,0.13414802279480886,0.2750144592249855,0.14526315789473684,-0.12975130133024868,0.07142857142857142,0.0,-0.07142857142857142,1,0,-5.21150399245654,0,0
municipality,26,26. СОФИЯ област,09,5,6,1797,396,0.527034718269778,0.6720516962843296,0.1450169780145516,0.5169727323316639,0.38636363636363635,-0.1306090959680275,0.0,0.0,0.0,0,0,-52.796431715308636,1,0
municipality,14,14. ПЕРНИК,19,2,12,466,575,0.5248917748917749,0.6176470588235294,0.09275528393175458,0.4892703862660944,0.3582608695652174,-0.13100951670087702,0.0,0.0,0.0,0,0,-37.45962581147332,0,0
municipality,09,09. КЪРДЖАЛИ,21,36,26,7294,1579,0.25718414949752966,0.437192790824686,0.18000864132715633,0.209075952837949,0.07726409119696011,-0.1318118616409889,0.05555555555555555,0.0,-0.05555555555555555,2,0,-15.866111595095001,2,0
municipality,02,02. БУРГАС,06,14,23,3596,1459,0.4401897269782508,0.6303258145363408,0.19013608755809003,0.5620133481646273,0.4297464016449623,-0.13226694651966503,0.0,0.0,0.0,0,0,3.1854685193453243,0,0
municipality,10,10. КЮСТЕНДИЛ,41,9,1,3563,21,0.6061254734068829,1.0,0.39387452659311706,0.5150154364299747,0.38095238095238093,-0.13406305547759378,0.1111111111111111,0.0,-0.1111111111111111,1,0,-0.4439694886369132,0,0
municipality,06,06. ВРАЦА,32,5,13,1207,1203,0.46079881656804733,0.6783974011911207,0.21759858462307335,0.4656172328086164,0.33000831255195345,-0.13560892025666293,0.0,0.0,0.0,0,0,-94.00368765038165,0,0
